participant_id,religion,age,choice
id_185,1,46,risky
id_186,9,65,safe
id_187,4,63,risky
id_188,4,34,risky
id_189,6,57,risky
id_190,1,67,risky
id_191,1,21,risky
id_192,6,23,safe
id_193,3,69,risky
id_194,5,50,safe
id_195,0,21,risky
id_196,4,34,safe
id_197,0,73,risky
id_198,2,26,risky
id_199,3,58,risky
id_200,5,53,risky
id_201,5,56,risky
id_202,1,56,safe
id_203,0,29,safe
id_204,0,18,safe
id_205,5,23,safe
id_206,4,43,risky
id_207,2,24,safe
id_208,4,73,safe
id_209,4,70,risky
id_210,3,20,risky
id_211,4,51,safe
id_212,1,37,safe
id_213,3,70,risky
id_214,5,57,risky
id_215,4,54,safe
id_216,5,37,risky
id_217,4,66,safe
id_218,4,36,safe
id_219,7,60,safe
id_220,6,68,safe
id_221,2,26,safe
id_222,2,18,safe
id_223,0,69,risky
id_224,5,21,safe
id_225,5,78,safe
id_226,7,76,risky
id_227,7,65,safe
id_228,4,65,safe
id_229,1,45,risky
id_230,8,69,safe
id_231,1,47,safe
id_232,8,44,risky
id_233,4,24,risky
id_234,2,33,risky
id_235,3,29,risky
id_236,4,70,safe
id_237,3,38,safe
id_238,6,51,risky
id_239,8,30,risky
id_240,0,73,risky
id_241,4,37,risky
id_242,7,18,risky
id_243,2,45,risky
id_244,0,78,safe
id_245,4,73,safe
id_246,5,59,safe
id_247,1,56,safe
id_248,7,63,safe
id_249,2,31,risky
id_250,3,53,safe
id_251,2,72,safe
id_252,6,51,risky
id_253,6,22,safe
id_254,6,63,risky
id_255,7,70,safe
id_256,6,26,risky
id_257,6,21,risky
id_258,2,64,safe
id_259,6,65,risky
id_260,5,29,safe
id_261,8,24,risky
id_262,5,44,risky
id_263,2,68,risky
id_264,6,71,risky
id_265,4,75,risky
id_266,3,60,risky
id_267,5,34,risky
id_268,4,47,risky
id_269,5,45,safe
id_270,5,79,safe
id_271,6,35,risky
id_272,9,38,risky
id_273,3,72,risky
id_274,3,44,safe
id_275,7,27,risky
id_276,5,47,risky
id_277,2,63,safe
id_278,2,61,safe
id_279,6,35,risky
id_280,3,42,risky
id_281,7,35,risky
id_282,4,39,safe
id_283,6,39,risky
id_284,8,54,safe
id_285,6,64,risky
id_286,0,69,risky
id_287,7,28,risky
id_288,4,29,safe
id_289,6,64,safe
id_290,1,49,safe
id_291,5,25,risky
id_292,1,51,risky
id_293,7,68,safe
id_294,5,27,risky
id_295,5,48,risky
id_296,6,65,risky
id_297,5,38,risky
id_298,2,59,safe
id_299,2,43,safe
id_300,1,60,safe
id_301,2,43,safe
id_302,3,21,risky
id_303,0,65,risky
id_304,5,29,risky
id_305,5,31,risky
id_306,2,39,risky
id_307,7,76,risky
id_308,6,55,risky
id_309,4,66,safe
id_310,7,20,risky
id_311,3,35,risky
id_312,2,39,risky
id_313,7,28,risky
id_314,7,27,risky
id_315,3,63,safe
id_316,5,41,safe
id_317,2,76,safe
id_318,4,49,risky
id_319,6,59,risky
id_320,7,33,risky
id_321,7,50,safe
id_322,2,61,safe
id_323,7,50,risky
id_324,3,54,safe
id_325,8,50,risky
id_326,2,70,safe
id_327,3,63,risky
id_328,6,63,risky
id_329,1,74,safe
id_330,2,59,safe
id_331,7,29,risky
id_332,7,69,risky
id_333,3,66,risky
id_334,4,49,risky
id_335,3,46,risky
id_336,4,22,safe
id_337,3,19,risky
id_338,5,23,safe
id_339,2,44,risky
id_340,2,69,safe
id_341,5,29,safe
id_342,7,31,risky
id_343,3,68,safe
id_344,7,62,risky
id_345,2,28,safe
id_346,5,18,safe
id_347,4,40,risky
id_348,8,23,risky
id_349,7,80,safe
id_350,2,57,safe
id_351,5,70,safe
id_352,5,34,safe
id_353,9,51,safe
id_354,7,46,safe
id_355,5,26,risky
id_356,0,73,risky
id_357,5,61,safe
id_358,2,39,risky
id_359,5,61,safe
id_360,0,52,risky
id_361,4,19,risky
id_362,2,62,risky
id_363,7,55,risky
id_364,6,43,safe
id_365,1,59,safe
id_366,7,54,risky
id_367,2,64,risky
id_368,8,72,safe
id_369,5,52,risky
id_370,8,29,safe
id_371,5,52,safe
id_372,4,35,risky
id_373,4,58,safe
id_374,5,41,risky
id_375,5,47,safe
id_376,7,20,safe
id_377,5,67,risky
id_378,3,24,safe
id_379,5,64,risky
id_380,5,33,risky
id_381,3,68,risky
id_382,5,61,safe
id_383,8,45,risky
id_384,4,49,safe
id_385,2,37,risky
id_386,3,79,risky
id_387,5,54,safe
id_388,3,34,safe
id_389,5,73,safe
id_390,5,66,risky
id_391,6,20,risky
id_392,7,80,risky
id_393,4,40,safe
id_394,6,21,risky
id_395,6,44,safe
id_396,5,31,risky
id_397,3,31,risky
id_398,4,74,risky
id_399,5,63,safe
id_400,2,28,risky
id_401,7,73,risky
id_402,5,32,safe
id_403,5,26,safe
id_404,9,56,safe
id_405,5,30,safe
id_406,3,24,safe
id_407,4,75,risky
id_408,5,71,risky
id_409,7,24,risky
id_410,1,70,safe
id_411,5,45,risky
id_412,6,62,risky
id_413,3,62,safe
id_414,4,33,risky
id_415,3,44,risky
id_416,2,40,safe
id_417,4,72,safe
id_418,5,51,risky
id_419,2,47,risky
id_420,7,28,safe
id_421,4,63,safe
id_422,7,33,risky
id_423,3,24,risky
id_424,8,46,safe
id_425,2,35,risky
id_426,2,70,risky
id_427,7,75,safe
id_428,0,23,safe
id_429,5,40,safe
id_430,3,45,risky
id_431,6,71,risky
id_432,6,51,safe
id_433,4,26,risky
id_434,2,32,risky
id_435,4,36,risky
id_436,3,32,risky
id_437,5,56,safe
id_438,2,51,risky
id_439,9,57,risky
id_440,3,36,risky
id_441,3,48,risky
id_442,2,41,safe
id_443,5,27,safe
id_444,8,67,safe
id_445,5,78,risky
id_446,6,25,risky
id_447,4,40,risky
id_448,6,79,safe
id_449,2,41,risky
id_450,2,75,safe
id_451,3,37,risky
id_452,2,66,safe
id_453,4,75,safe
id_454,3,64,safe
id_455,7,53,safe
id_456,5,58,risky
id_457,8,50,safe
id_458,6,70,safe
id_459,4,32,safe
id_460,2,31,risky
id_461,6,30,risky
id_462,5,43,safe
id_463,4,39,safe
id_464,5,63,risky
id_465,7,21,risky
id_466,3,57,risky
id_467,4,57,risky
id_468,7,39,safe
id_469,5,33,safe
id_470,3,77,safe
id_471,0,36,risky
id_472,2,73,risky
id_473,5,45,safe
id_474,4,28,safe
id_475,5,53,safe
id_476,4,43,risky
id_477,1,62,safe
id_478,5,26,risky
id_479,4,27,safe
id_480,3,64,risky
id_481,3,79,safe
id_482,5,59,safe
id_483,9,37,risky
id_484,2,56,risky
id_485,6,67,safe
id_486,2,62,risky
id_487,5,43,risky
id_488,4,56,safe
id_489,7,76,safe
id_490,3,24,risky
id_491,7,55,safe
id_492,8,73,safe
id_493,1,38,safe
id_494,7,78,risky
id_495,4,25,safe
id_496,5,67,safe
id_497,7,20,risky
id_498,4,23,risky
id_499,3,47,safe
id_500,5,58,safe
